zeichnung;ventiltype;innenrate;aussenrate;beipruefdruck;innenzeit;aussenzeit;bemerkungen;modifiedBy
550079;73FY/113SRD;0,983;0,375;5;_;_;_;
550178;98RX/145E;1,322;1,574;5;_;_;98 RX/145 E 544678;
550179;98RX/145E;1,322;1,574;5;_;_;98 RX/145 E 544678;
550181;98RX/145E;1,322;1,574;5;_;_;98RX/145E 548893;
550182;174RX/274F;4,3;3,8;5;_;_;174 RX/274 F 544040;
550183;174RX/274F;4,3;3,8;5;_;_;174 RX/274 F 544040;
550185;174RX/274F;4,3;3,8;5;_;_;174 RX/274 F 544040;
550238;79R2/106CD;0,975;0,603;5;_;_;_;
550842;70R2/104CD;0,835;0,578;5;_;_;_;
551093;60R2/94CD;0,645;0,515;5;_;_;_;
551661;134R1/230SRE;2,273;1,647;5;_;_;_;
551663;73FY/142SRE;0,99;0,689;5;_;_;_;
553089;70ED/120CD;0,626;0,755;5;_;_;70ED/120CD 587980;stu
553316;88R4/146CE;1,294;1,523;5;_;_;88 R4/146 CE 577307;
553398;37R1/62C;0,187;0,185;5;_;_;_;
553551;105RO/159SRD;1,785;0,488;5;_;_;_;
553991;42R2/77CD;0,299;0,381;5;_;_;42 R2/77 CD 546927;
554165;101HY/179SRE;_;_;5;_;_;Lt. Zus berechnen;
555333;88R1/140CE;1,2;1,16;5;_;_;88CG2/140CE: 071939 / 88R1/140CE: 087217;
555773;79R2/106CD;0,975;0,601;5;_;_;79 R2/106 CD 555774;
555774;79R2/106CD;0,975;0,601;5;_;_;_;
555803;79R2/113CD;0,975;0,613;5;_;_;79R1/113CD 042342;
555900;88R4/133CE;1,291;1,427;5;_;_;_;
555901;88R4/133CE;1,291;1,427;5;_;_;88 R4/133 CE 555900;
555902;88R4/133CE;1,291;1,427;5;_;_;88 R4/133 CE 555900;
570048;101HY/154E;2,065;1,734;5;_;_;_;
570049;80FY/128E;1,138;1,065;5;_;_;80CGY/128CE 422732 + 80FY/128E 570049;
570291;60R2/94CD;0,65;0,52;5;_;_;60 R2/86 CD 434734;
570509;70R2/96CD;0,84;0,546;5;_;_;70 R2/96 CD 429306;
570708;70ED/120CD;0,626;0,755;5;_;_;70ED/120CD 587980;stu
570821;73FY/127SRD;0,983;0,419;5;_;_;73 FY/113 SRD 550079;
571160;42RO/77CD;0,341;0,417;5;_;_;42 R2/77 CD 421166;
571364;70R2/104CD;0,84;0,585;5;_;_;70 R2/104 CD 550842;
571407;70RO/96CD;0,836;0,543;5;_;_;70 RO/96 CD 429306;
571408;42RO/77CD;0,341;0,417;5;_;_;42 R2/77 CD 421166;
571410;DIA130/2-A94S;1,251;1,084;5;_;_;DIA 130/2 - A 94 S V 4356;
571633;42RO/77CD;0,341;0,417;5;_;_;42 R2/77 CD 421166;
